Site,bloom,year,month,day_of_year,date,NDVI,NDWI,EVI,LST,cloud_cover,longitude,latitude
Channel Islands National Park,1,2018,4,98,2018-04-09,-0.002978756265404518,0.03103125129953606,0.016194954680431323,13.811207805962706,33.65,-119.97275608023315,33.99868572814196
Chino Hills,1,2018,4,98,2018-04-09,0.1883108352329105,-0.19383410017124,1.9896410833418752,35.62833219185919,33.65,-117.77738835498087,33.9516771794212
Antelope Valley California Poppy Reserve,1,2018,4,114,2018-04-25,0.14460924589297192,-0.19341353182554297,0.7372091003155665,44.64432789711611,7.43,-118.3837425004573,34.71510947662752
Channel Islands National Park,1,2018,4,114,2018-04-25,0.012240856208170966,0.020036516912235205,0.14450146149344065,16.149637903919515,7.43,-119.97275608023315,33.99868572814196
Chino Hills,1,2018,4,114,2018-04-25,0.16960610506638257,-0.19247853527450237,1.4357023637426025,36.24895379293136,7.43,-117.77738835498087,33.9516771794212
Antelope Valley California Poppy Reserve,1,2019,4,101,2019-04-12,0.21984475303380466,-0.24560920919302454,1.1418915754039611,27.739717917078206,12.17,-118.3837425004573,34.71510947662752
Channel Islands National Park,1,2019,4,101,2019-04-12,0.011594057543763433,0.015384472475537004,-0.11101867309971078,11.721903808867475,12.17,-119.97275608023315,33.99868572814196
Chino Hills,1,2019,4,101,2019-04-12,0.2976330951839004,-0.2887666195892793,1.7921150648475686,27.77794377267394,12.17,-117.77738835498087,33.9516771794212
Antelope Valley California Poppy Reserve,1,2019,4,117,2019-04-28,0.17611868167789224,-0.2244031465705923,0.8168997876625379,42.6704904499412,27.84,-118.3837425004573,34.71510947662752
Chino Hills,1,2019,4,117,2019-04-28,0.2948890528546897,-0.2924581397875218,1.449016292929025,25.334729235335715,27.84,-117.77738835498087,33.9516771794212
Antelope Valley California Poppy Reserve,1,2020,4,104,2020-04-14,0.2318451031410279,-0.24426647940790433,1.4047096058286521,25.990961552983514,1.18,-118.3837425004573,34.71510947662752
Channel Islands National Park,1,2020,4,104,2020-04-14,0.032828788917083296,-0.012612214473609029,0.3094265772696991,18.607955853595282,1.18,-119.97275608023315,33.99868572814196
Chino Hills,1,2020,4,104,2020-04-14,0.2477629370484321,-0.23757377350577769,2.865696216282764,27.717859451450114,1.18,-117.77738835498087,33.9516771794212
Antelope Valley California Poppy Reserve,1,2020,4,120,2020-04-30,0.2244774789029828,-0.24669558799697025,1.1696692859275966,34.27536482201377,16.0,-118.3837425004573,34.71510947662752
Chino Hills,1,2020,4,120,2020-04-30,0.24009622760026458,-0.2378065830396641,2.0802728014473564,32.63607730220283,16.0,-117.77738835498087,33.9516771794212
Antelope Valley California Poppy Reserve,1,2021,4,90,2021-04-01,0.12607869920489356,-0.1761474442638138,0.610587693868698,40.26459829717935,21.57,-118.3837425004573,34.71510947662752
Channel Islands National Park,1,2021,4,90,2021-04-01,-0.0023305608976081356,0.0281390463899954,0.060104038697117466,14.544834147687755,21.57,-119.97275608023315,33.99868572814196
Antelope Valley California Poppy Reserve,1,2021,4,106,2021-04-17,0.11690965190163544,-0.17236920243752796,0.5287618715607492,40.46676797650095,2.56,-118.3837425004573,34.71510947662752
Channel Islands National Park,1,2021,4,106,2021-04-17,0.0356842500129796,-0.019253844585688826,0.38453860204643575,23.879301588329763,2.56,-119.97275608023315,33.99868572814196
Chino Hills,1,2021,4,106,2021-04-17,0.21149940038866616,-0.22515907362794982,1.446024902784493,33.93878830934843,2.56,-117.77738835498087,33.9516771794212
Antelope Valley California Poppy Reserve,1,2022,4,93,2022-04-04,0.185089295472902,-0.21905893182829309,0.8901365941512346,30.02803340521909,7.42,-118.3837425004573,34.71510947662752
Channel Islands National Park,1,2022,4,93,2022-04-04,0.06734574597039754,-0.05356162597576422,0.3594416532451132,19.66852032157248,7.42,-119.97275608023315,33.99868572814196
Chino Hills,1,2022,4,93,2022-04-04,0.2345167901557373,-0.23892147736326216,1.414056501756614,26.107385655007974,7.42,-117.77738835498087,33.9516771794212
Antelope Valley California Poppy Reserve,1,2022,4,109,2022-04-20,0.16193137031935792,-0.2096568139425607,0.7375072769250407,34.224439358057246,18.07,-118.3837425004573,34.71510947662752
Channel Islands National Park,1,2022,4,109,2022-04-20,0.058719167501720744,-0.05472318774352688,0.28030745683198205,21.79525706925617,18.07,-119.97275608023315,33.99868572814196
Chino Hills,1,2022,4,109,2022-04-20,0.19991483056890472,-0.22703874809937452,1.0562748680533525,33.40964973228685,18.07,-117.77738835498087,33.9516771794212
Antelope Valley California Poppy Reserve,1,2023,4,96,2023-04-07,0.24777835255816708,-0.2719595362899422,1.2236726194500824,29.19723479887967,6.49,-118.3837425004573,34.71510947662752
Channel Islands National Park,1,2023,4,96,2023-04-07,-0.003073114611814187,0.028870091654540575,0.013597233626469678,12.415802289769847,6.49,-119.97275608023315,33.99868572814196
