,Site,bloom,year,month,day_of_year,date,NDVI,NDWI,EVI,LST,cloud_cover,longitude,latitude
7897,Suguaro Lake,1,2023,9,244,2023-09-02,0.094434183814025,-0.1439348396265556,0.5644443603795488,45.02516542720203,51.12,-111.54542297799958,33.59825955383104
7898,Black Canyon City,1,2023,9,260,2023-09-18,0.1095123633022512,-0.1508658504420071,0.613616420290617,43.97380663217619,0.97,-112.12297566700332,34.12891725078391
7899,Suguaro Lake,1,2023,9,260,2023-09-18,0.093080688613334,-0.1427286793831333,0.4843501816782613,50.36759131416501,0.97,-111.54542297799958,33.59825955383104
7900,Black Canyon City,1,2024,9,247,2024-09-04,0.0956538168045124,-0.1383038023371459,0.5429619965435283,53.89291139621697,12.5,-112.12297566700332,34.12891725078391
7901,Suguaro Lake,1,2024,9,247,2024-09-04,0.0920978009647956,-0.1443707556671992,0.4583073199113497,53.460346788358265,12.5,-111.54542297799958,33.59825955383104
7902,Black Canyon City,1,2024,9,263,2024-09-20,0.0962449067357421,-0.1401937692939622,0.5296078033462567,40.81477099526446,13.95,-112.12297566700332,34.12891725078391
7903,Suguaro Lake,1,2024,9,263,2024-09-20,0.0935963854221061,-0.1447126878415363,0.4293064654145669,45.15097948052224,13.95,-111.54542297799958,33.59825955383104
7904,Black Canyon City,1,2015,9,254,2015-09-12,0.0872824134760928,-0.129171517811789,0.5028799359536871,52.26211745810266,6.35,-112.12297566700332,34.12891725078391
7905,Estrella Mountain Regional Park,1,2015,9,254,2015-09-12,0.0730584605774382,-0.116416644446767,0.3716521478458166,52.46830332317775,6.35,-112.363865249209,33.327835281867486
7906,South Mountain Park and Preserve,1,2015,9,254,2015-09-12,0.0837455561906365,-0.1175028326715756,0.5381718298542529,51.35595113167009,6.35,-112.07404945155729,33.33552038501198
7907,Suguaro Lake,1,2015,9,254,2015-09-12,0.0944305291828038,-0.1401590610802826,0.4861518912370082,51.41408041028311,6.35,-111.54542297799958,33.59825955383104
7908,Black Canyon City,1,2015,9,270,2015-09-28,0.0830241393437768,-0.1232032986087653,0.4726001989253979,42.10309670129843,1.71,-112.12297566700332,34.12891725078391
7909,Estrella Mountain Regional Park,1,2015,9,270,2015-09-28,0.0783011166055097,-0.1194759051490196,0.426599241853021,49.53768503818315,1.71,-112.363865249209,33.327835281867486
7910,South Mountain Park and Preserve,1,2015,9,270,2015-09-28,0.0849849734828683,-0.116583866563854,0.5666261586741844,44.489947365626016,1.71,-112.07404945155729,33.33552038501198
7911,Suguaro Lake,1,2015,9,270,2015-09-28,0.0909986205382456,-0.1346408052676013,0.478520686395061,45.63502636687492,1.71,-111.54542297799958,33.59825955383104
7912,Black Canyon City,1,2016,9,257,2016-09-14,0.1041244438028239,-0.1431899843149897,0.5974840695381232,43.60961983445699,23.1,-112.12297566700332,34.12891725078391
7913,Estrella Mountain Regional Park,1,2016,9,257,2016-09-14,0.0778105141198922,-0.1223943379807077,0.3940169584560851,47.835129907914855,23.1,-112.363865249209,33.327835281867486
7914,South Mountain Park and Preserve,1,2016,9,257,2016-09-14,0.0736506123454592,-0.1118231662979719,0.4323293814249598,46.04489613732305,23.1,-112.07404945155729,33.33552038501198
7915,Suguaro Lake,1,2016,9,257,2016-09-14,0.0896164781053661,-0.1397892148670373,0.4375705883250894,45.59827187625731,23.1,-111.54542297799958,33.59825955383104
7916,Black Canyon City,1,2016,9,273,2016-09-30,0.1005154936467164,-0.1363053823234854,0.6341802424318312,42.671908990649335,5.26,-112.12297566700332,34.12891725078391
7917,Estrella Mountain Regional Park,1,2016,9,273,2016-09-30,0.0788003656760261,-0.1216554819482514,0.3996386036886108,46.38759381522164,5.26,-112.363865249209,33.327835281867486
7918,South Mountain Park and Preserve,1,2016,9,273,2016-09-30,0.075199712927527,-0.1118898889050309,0.4745374619491906,46.71078091197952,5.26,-112.07404945155729,33.33552038501198
7919,Suguaro Lake,1,2016,9,273,2016-09-30,0.0886329491633538,-0.137280280844615,0.4690673980189508,45.62962009962845,5.26,-111.54542297799958,33.59825955383104
7920,Black Canyon City,1,2017,9,243,2017-09-01,0.1041750652391679,-0.1444411054576255,0.5892198571249434,53.2788761691026,0.01,-112.12297566700332,34.12891725078391
7921,Estrella Mountain Regional Park,1,2017,9,243,2017-09-01,0.0874022656561797,-0.1307317872635625,0.4293867040422788,56.04982300071659,0.01,-112.363865249209,33.327835281867486
7922,South Mountain Park and Preserve,1,2017,9,243,2017-09-01,0.0889101224238091,-0.1249192565321424,0.5281560035131546,54.98465008239408,0.01,-112.07404945155729,33.33552038501198
7923,Suguaro Lake,1,2017,9,243,2017-09-01,0.1120738779127458,-0.1553047052888107,0.5478395947224599,52.32176864183815,0.01,-111.54542297799958,33.59825955383104
7924,Black Canyon City,1,2017,9,259,2017-09-17,0.1007393108029755,-0.1427858991417198,0.560022203596284,45.62322150910776,0.04,-112.12297566700332,34.12891725078391
7925,Estrella Mountain Regional Park,1,2017,9,259,2017-09-17,0.0827748475306058,-0.1275961183735807,0.4141022962898246,49.23133874768199,0.04,-112.363865249209,33.327835281867486
7926,South Mountain Park and Preserve,1,2017,9,259,2017-09-17,0.0821935711888386,-0.1211716396146839,0.4706287260838219,47.019508673734826,0.04,-112.07404945155729,33.33552038501198
7927,Suguaro Lake,1,2017,9,259,2017-09-17,0.1090374409521529,-0.1534705398459412,0.5548604439017742,44.66600736838441,0.04,-111.54542297799958,33.59825955383104
7928,Black Canyon City,1,2018,9,246,2018-09-04,0.0944968686514162,-0.1381003401269844,0.5273318666603884,49.39824503314932,4.65,-112.12297566700332,34.12891725078391
7929,Estrella Mountain Regional Park,1,2018,9,246,2018-09-04,0.0707602364367486,-0.1181261304758251,0.3306056386816084,50.99462981877709,4.65,-112.363865249209,33.327835281867486
7930,South Mountain Park and Preserve,1,2018,9,246,2018-09-04,0.0678634715808252,-0.1086510182695954,0.3711411277927384,49.35568251899006,4.65,-112.07404945155729,33.33552038501198
7931,Suguaro Lake,1,2018,9,246,2018-09-04,0.1089430802501419,-0.1543510615799232,0.5643056347797619,46.56297848013175,4.65,-111.54542297799958,33.59825955383104
7932,Black Canyon City,1,2018,9,262,2018-09-20,0.0911572967005117,-0.13505811161155,0.5039047047975992,44.39081486451205,0.57,-112.12297566700332,34.12891725078391
7933,Estrella Mountain Regional Park,1,2018,9,262,2018-09-20,0.0691369758221172,-0.1139012147798601,0.3473762044530157,45.5791134031816,0.57,-112.363865249209,33.327835281867486
7934,South Mountain Park and Preserve,1,2018,9,262,2018-09-20,0.0654090416159367,-0.1024603670528295,0.4081524506780025,41.12735518279196,0.57,-112.07404945155729,33.33552038501198
7935,Suguaro Lake,1,2018,9,262,2018-09-20,0.0983071103208723,-0.1451087001360336,0.4987330489840821,37.36080884884923,0.57,-111.54542297799958,33.59825955383104
7936,Black Canyon City,1,2019,9,249,2019-09-07,0.1030340264343512,-0.1445656062938962,0.5509991615182672,56.18705645108765,22.7,-112.12297566700332,34.12891725078391
7937,Estrella Mountain Regional Park,1,2019,9,249,2019-09-07,0.0804206881628183,-0.1279250563051091,0.3937999043099965,55.07687752650459,22.7,-112.363865249209,33.327835281867486
7938,South Mountain Park and Preserve,1,2019,9,249,2019-09-07,0.082577759538372,-0.1252621955240201,0.432797852580885,51.149942271164754,22.7,-112.07404945155729,33.33552038501198
7939,Suguaro Lake,1,2019,9,249,2019-09-07,0.0846109368052365,-0.1084328195487267,0.4669523009526957,32.753068760000026,22.7,-111.54542297799958,33.59825955383104
7940,Estrella Mountain Regional Park,1,2019,9,265,2019-09-23,0.0857701161411726,-0.1354077962568525,0.3727892169504033,45.303679172950645,38.67,-112.363865249209,33.327835281867486
7941,South Mountain Park and Preserve,1,2019,9,265,2019-09-23,0.0878318259058253,-0.1218692131772312,0.448239290096146,35.43997662145165,38.67,-112.07404945155729,33.33552038501198
7942,Suguaro Lake,1,2019,9,265,2019-09-23,0.103638845670814,-0.1523314996289882,0.4701949960340054,28.31268768542256,38.67,-111.54542297799958,33.59825955383104
7943,Black Canyon City,1,2020,9,252,2020-09-09,0.0970188164772568,-0.1409803329061217,0.5258353993207355,40.555678921246354,0.0,-112.12297566700332,34.12891725078391
7944,Estrella Mountain Regional Park,1,2020,9,252,2020-09-09,0.0770007173882503,-0.1253873251026891,0.3849764237430348,45.830262246452094,0.0,-112.363865249209,33.327835281867486
7945,South Mountain Park and Preserve,1,2020,9,252,2020-09-09,0.0753012760660666,-0.1189593125304416,0.4166903279786811,44.17411212326556,0.0,-112.07404945155729,33.33552038501198
7946,Suguaro Lake,1,2020,9,252,2020-09-09,0.0961623074317507,-0.1494274684648759,0.4495495209943837,44.000360006478594,0.0,-111.54542297799958,33.59825955383104
7947,Black Canyon City,1,2020,9,268,2020-09-25,0.0962346012119561,-0.1389136236425952,0.5788840825033933,48.84338756048533,0.0,-112.12297566700332,34.12891725078391
7948,Estrella Mountain Regional Park,1,2020,9,268,2020-09-25,0.0775078425793157,-0.1243455572464319,0.4035266744681919,52.35297724246818,0.0,-112.363865249209,33.327835281867486
7949,South Mountain Park and Preserve,1,2020,9,268,2020-09-25,0.0754777992464491,-0.1172660065562889,0.4435028928729176,50.62341731941581,0.0,-112.07404945155729,33.33552038501198
7950,Suguaro Lake,1,2020,9,268,2020-09-25,0.0952302916498384,-0.1465549269312653,0.4764767169718045,50.15458768283925,0.0,-111.54542297799958,33.59825955383104
7951,Black Canyon City,1,2021,9,254,2021-09-12,0.103829916794195,-0.1390348738049718,0.6005404287739741,52.83174501036606,0.09,-112.12297566700332,34.12891725078391
7952,Estrella Mountain Regional Park,1,2021,9,254,2021-09-12,0.1116237033363821,-0.1481042394164189,0.5926905500957661,54.615087203716094,0.09,-112.363865249209,33.327835281867486
7953,South Mountain Park and Preserve,1,2021,9,254,2021-09-12,0.1164314385399582,-0.1449463051030416,0.7233107368638152,51.39358782513163,0.09,-112.07404945155729,33.33552038501198
7954,Suguaro Lake,1,2021,9,254,2021-09-12,0.1480335716135207,-0.1841984896664106,0.7757194528401756,50.72002576045372,0.09,-111.54542297799958,33.59825955383104
7955,Black Canyon City,1,2021,9,270,2021-09-28,0.1045796182854634,-0.1337538577252403,0.7480795031045966,34.7965412789067,5.41,-112.12297566700332,34.12891725078391
7956,Estrella Mountain Regional Park,1,2021,9,270,2021-09-28,0.1039530990716041,-0.1403322497548855,0.5702836127836146,41.966536501717705,5.41,-112.363865249209,33.327835281867486
7957,South Mountain Park and Preserve,1,2021,9,270,2021-09-28,0.1073083578700033,-0.1366018046075088,0.6910724116838143,39.70107491693432,5.41,-112.07404945155729,33.33552038501198
7958,Suguaro Lake,1,2021,9,270,2021-09-28,0.1439885093563531,-0.1764136606251031,0.7760796049814017,32.792384678566336,5.41,-111.54542297799958,33.59825955383104
7959,Black Canyon City,1,2022,9,257,2022-09-15,0.1127070963260558,-0.147242513633181,0.7064940586398594,46.08984311914998,1.05,-112.12297566700332,34.12891725078391
