Site,year,NDVI,NDWI,cloud_cover,longitude,latitude,bloom,month,day_of_year,day_of_month,is_spring,is_summer,is_fall,is_winter
Non_Bloom_7,2024,0.192510088343578,-0.2028350460070584,55.05,-83.61273098446513,35.62715942043859,0,11,314,9,0,0,1,0
Non_Bloom_7,2024,0.1802412091888977,-0.1872085154985862,73.75,-83.61273098446513,35.62715942043859,0,11,330,25,0,0,1,0
Non_Bloom_5,2024,0.2732319793135189,-0.1901497693178049,1.2,-110.60343749069466,44.441023488503205,0,1,15,15,0,0,0,1
Non_Bloom_5,2024,0.2093818408354401,-0.1894209669800193,1.46,-110.60343749069466,44.441023488503205,0,1,31,31,0,0,0,1
Non_Bloom_5,2024,0.500770151129868,-0.3328710797867975,0.17,-110.60343749069466,44.441023488503205,0,3,79,19,1,0,0,0
Non_Bloom_5,2024,0.2372619341881073,-0.1087886319761822,8.01,-110.60343749069466,44.441023488503205,0,4,111,20,1,0,0,0
Non_Bloom_5,2024,0.1804351504567657,-0.1791174358609971,25.52,-110.60343749069466,44.441023488503205,0,6,159,7,0,1,0,0
Non_Bloom_5,2024,0.1941517701159837,-0.1890074845037242,3.73,-110.60343749069466,44.441023488503205,0,6,175,23,0,1,0,0
Non_Bloom_5,2024,0.2109753021637091,-0.2015566769511699,6.11,-110.60343749069466,44.441023488503205,0,7,191,9,0,1,0,0
Non_Bloom_5,2024,0.2022423096235119,-0.1876138619259851,59.44,-110.60343749069466,44.441023488503205,0,7,207,25,0,1,0,0
Non_Bloom_5,2024,0.2412812638343812,-0.2238011773918837,57.32,-110.60343749069466,44.441023488503205,0,8,239,26,0,1,0,0
Non_Bloom_5,2024,0.1715230719870606,-0.1692059232139355,0.1,-110.60343749069466,44.441023488503205,0,9,271,27,0,0,1,0
Non_Bloom_5,2024,0.1637907273900245,-0.1606919978429949,0.06,-110.60343749069466,44.441023488503205,0,10,287,13,0,0,1,0
Non_Bloom_5,2024,0.2291247243792541,-0.2264205088961163,55.43,-110.60343749069466,44.441023488503205,0,11,319,14,0,0,1,0
